subID,domEyeR,threshStHi,threshStLo,thresh,Trial_number,Sentence_ID,Sentence_pixel_length,Congruent_1,Familiar_1,LocationTop_1,LocationcuedTop_1,Trialcorrect_1,Trialbroken_1,ST
49,1,0.24862,0.2398,0.24421,53,20,115,0,1,1,1,1,1,1.5213
49,1,0.24862,0.2398,0.24421,54,1,136,0,0,1,1,1,1,1.2691
49,1,0.24862,0.2398,0.24421,55,13,118,0,1,0,1,1,1,1.1679
49,1,0.24862,0.2398,0.24421,56,7,128,0,1,0,1,1,1,1.6364
49,1,0.24862,0.2398,0.24421,58,27,104,0,0,0,1,1,1,1.2565
49,1,0.24862,0.2398,0.24421,59,2,131,1,0,1,1,1,1,1.2339
49,1,0.24862,0.2398,0.24421,60,29,93,1,0,1,1,1,1,1.3865
49,1,0.24862,0.2398,0.24421,61,7,128,0,0,0,1,1,1,1.281
49,1,0.24862,0.2398,0.24421,63,4,128,1,1,0,1,1,1,1.1855
49,1,0.24862,0.2398,0.24421,64,20,110,1,1,1,1,1,1,1.1315
49,1,0.24862,0.2398,0.24421,65,21,109,0,0,0,1,1,1,1.4106
49,1,0.24862,0.2398,0.24421,66,27,106,1,0,0,1,1,1,1.2663
49,1,0.24862,0.2398,0.24421,67,16,128,1,0,0,1,1,1,1.262
49,1,0.24862,0.2398,0.24421,69,10,128,0,0,0,1,1,1,1.2097
49,1,0.24862,0.2398,0.24421,70,3,129,1,0,1,1,1,1,1.282
49,1,0.24862,0.2398,0.24421,71,30,96,1,1,1,1,1,1,1.7955
49,1,0.24862,0.2398,0.24421,72,14,121,1,0,1,1,1,1,1.3071
49,1,0.24862,0.2398,0.24421,73,11,123,1,1,1,1,1,1,2.2193
49,1,0.24862,0.2398,0.24421,74,27,106,1,1,1,1,1,1,1.332
49,1,0.24862,0.2398,0.24421,75,16,128,1,1,1,1,1,1,1.2367
49,1,0.24862,0.2398,0.24421,76,13,118,1,1,1,1,1,1,1.3404
49,1,0.24862,0.2398,0.24421,77,1,134,1,1,1,1,1,1,1.7782
49,1,0.24862,0.2398,0.24421,79,24,110,0,0,1,1,1,1,1.1286
49,1,0.24862,0.2398,0.24421,80,14,121,1,1,0,1,1,1,1.229
49,1,0.24862,0.2398,0.24421,81,24,110,1,1,1,1,1,1,1.4352
49,1,0.24862,0.2398,0.24421,82,25,106,1,1,0,1,1,1,1.1475
49,1,0.24862,0.2398,0.24421,83,2,131,1,0,0,1,1,1,1.6189
49,1,0.24862,0.2398,0.24421,84,15,116,1,0,1,1,1,1,1.2016
49,1,0.24862,0.2398,0.24421,85,9,125,1,0,1,1,1,1,1.7091
49,1,0.24862,0.2398,0.24421,86,8,128,0,0,1,1,1,1,1.9162
49,1,0.24862,0.2398,0.24421,87,10,124,1,1,1,1,1,1,1.2357
49,1,0.24862,0.2398,0.24421,88,20,115,0,0,1,1,1,1,1.6437
49,1,0.24862,0.2398,0.24421,89,13,118,0,1,1,1,1,1,1.9819
49,1,0.24862,0.2398,0.24421,90,17,113,1,1,1,1,1,1,1.4827
49,1,0.24862,0.2398,0.24421,91,7,127,1,1,1,1,1,1,1.4041
49,1,0.24862,0.2398,0.24421,92,23,103,0,0,1,1,1,1,1.3493
49,1,0.24862,0.2398,0.24421,94,19,115,1,0,0,1,0,1,1.1989
49,1,0.24862,0.2398,0.24421,95,9,129,0,0,1,1,1,1,1.3393
49,1,0.24862,0.2398,0.24421,97,24,110,0,1,1,1,1,1,1.7502
49,1,0.24862,0.2398,0.24421,98,18,117,0,0,1,1,1,1,1.451
49,1,0.24862,0.2398,0.24421,101,4,125,0,1,1,1,1,1,1.3692
49,1,0.24862,0.2398,0.24421,105,8,129,1,1,0,1,1,1,1.203
49,1,0.24862,0.2398,0.24421,106,29,93,1,1,1,1,1,1,1.8573
49,1,0.24862,0.2398,0.24421,108,20,110,1,0,1,1,1,1,1.1989
49,1,0.24862,0.2398,0.24421,109,8,129,1,0,0,1,1,1,1.1849
49,1,0.24862,0.2398,0.24421,111,16,128,1,0,1,1,1,1,1.1112
49,1,0.24862,0.2398,0.24421,113,8,129,1,0,1,1,1,1,1.3361
49,1,0.24862,0.2398,0.24421,115,8,128,0,0,0,1,1,1,1.4206
49,1,0.24862,0.2398,0.24421,116,25,111,0,1,1,1,1,1,1.6069
49,1,0.24862,0.2398,0.24421,117,11,123,1,0,1,1,1,1,1.4797
49,1,0.24862,0.2398,0.24421,118,2,131,1,1,1,1,1,1,1.4904
49,1,0.24862,0.2398,0.24421,119,15,121,0,0,0,1,1,1,1.2577
49,1,0.24862,0.2398,0.24421,120,23,103,0,0,0,1,1,1,2.3771
49,1,0.24862,0.2398,0.24421,121,27,106,1,0,1,1,1,1,1.1824
49,1,0.24862,0.2398,0.24421,122,14,115,0,0,1,1,1,1,1.1889
