subID,Trial_number,Sentence_pixel_length,Congruent_1,Familiar_1,LocationTop_1,Cued_1,Trialcorrect_1,Trialbroken_1,ST
1,32,0,1,1,0,1,1,1,0.42412
1,19,115,1,0,0,0,1,1,1.8158
1,16,111,0,0,1,1,1,1,1.4049
1,10,128,0,1,1,0,1,1,1.6638
1,14,121,1,0,0,1,1,1,1.4123
1,14,115,0,1,0,0,1,1,1.8576
1,22,111,1,1,0,0,0,0,0.010294
1,23,103,0,0,0,0,1,1,0.13154
1,21,109,0,1,1,1,1,1,1.7348
1,1,136,0,1,0,1,1,1,1.4684
1,1,136,0,1,1,1,1,1,1.4892
1,25,106,1,1,0,0,1,1,1.6853
1,3,129,1,0,1,1,1,1,1.4753
1,21,109,0,0,0,1,1,1,1.8913
1,13,118,1,0,1,1,1,1,1.3404
1,29,93,1,0,1,0,1,1,1.652
1,14,121,1,1,0,1,1,1,1.1906
1,27,106,1,1,0,0,1,1,1.5434
1,8,128,0,0,0,0,1,1,1.7514
1,16,128,1,1,1,1,1,1,1.5501
1,25,106,1,0,0,1,1,1,1.5335
1,31,0,1,1,0,1,1,1,0.22461
1,20,115,0,0,1,0,1,1,1.4889
1,21,114,1,0,1,1,1,1,1.6829
1,7,127,1,1,0,0,1,1,1.3635
1,14,115,0,0,1,1,0,1,1.3748
1,28,108,1,1,0,0,1,1,1.3738
1,7,127,1,0,1,1,1,1,1.5139
1,3,133,0,1,0,1,1,1,1.418
1,8,129,1,1,1,1,1,1,1.6619
1,22,111,1,0,1,0,1,1,1.6423
1,11,123,1,0,0,1,1,1,1.4019
1,20,115,0,1,0,0,1,1,1.4774
1,22,111,1,0,0,1,1,1,1.6782
1,18,111,1,1,1,1,1,1,1.5156
1,31,0,0,1,0,1,1,1,0.10217
1,23,109,1,0,1,0,1,1,1.3575
1,20,110,1,1,1,0,1,1,1.4732
1,1,136,0,1,1,0,1,1,1.5324
1,9,125,1,0,0,0,1,1,1.4353
1,6,129,0,1,1,1,1,1,1.4665
1,14,121,1,1,0,0,1,1,1.5519
1,13,118,1,1,0,0,1,1,1.5516
1,25,111,0,0,0,0,1,1,1.7229
1,8,128,0,1,0,0,1,1,1.957
