subID,Trial_number,Sentence_ID,Sentence_pixel_length,Congruent_1,Familiar_1,LocationTop_1,Cued_1,Trialcorrect_1,Trialbroken_1,ST
51,3,3,133,2,2,1,1,1,1,1.7099
51,7,7,127,1,2,1,1,1,1,1.4814
51,9,9,129,2,1,1,1,1,1,1.6457
51,13,13,118,1,1,1,1,1,1,1.4556
51,2,2,133,2,1,1,1,1,1,1.4287
51,4,4,125,2,2,2,1,1,1,1.3491
51,4,4,128,1,1,2,1,1,1,1.6327
51,26,26,106,1,1,2,2,1,1,1.564
51,28,28,108,1,2,1,2,1,1,1.4346
51,25,25,106,1,1,1,1,1,1,1.4621
51,6,6,129,2,2,2,2,1,1,1.9309
51,25,25,106,1,2,2,2,1,1,1.4623
51,6,6,129,1,1,2,2,1,1,1.3569
51,7,7,127,1,1,2,2,1,1,1.7427
51,24,24,110,2,2,2,1,1,1,1.478
51,11,11,125,2,2,2,1,1,1,1.3553
51,11,11,123,1,1,1,1,1,1,1.3743
51,31,31,0,2,2,2,1,1,1,0.23125
51,11,11,125,2,1,2,2,1,1,1.5021
51,28,28,100,2,2,1,1,1,1,1.4621
51,6,6,129,1,2,1,2,1,1,1.583
51,21,21,109,2,1,2,2,1,1,1.5608
51,6,6,129,2,1,2,1,1,1,1.4704
51,29,29,93,1,1,1,1,1,1,1.6999
51,30,30,97,2,2,1,2,1,1,1.5168
51,11,11,125,2,2,2,2,1,1,1.5174
51,27,27,104,2,2,1,1,1,1,1.5286
51,30,30,96,1,1,2,2,1,1,1.7666
51,9,9,125,1,2,1,2,1,1,1.4178
51,23,23,109,1,2,1,2,1,1,1.3459
51,11,11,125,2,2,1,1,1,1,1.6178
51,26,26,105,2,2,1,2,1,1,1.3555
51,16,16,111,2,2,2,1,1,1,1.3115
51,14,14,115,2,1,2,1,1,1,1.4299
51,3,3,129,1,1,1,2,1,1,1.4014
51,32,32,0,1,2,2,1,1,1,0.37218
51,19,19,115,1,2,1,1,1,1,1.47
51,15,15,116,1,1,1,2,1,1,1.4929
51,9,9,129,2,2,1,1,1,1,1.4498
51,14,14,115,2,1,1,2,1,1,1.3039
51,12,12,117,2,2,1,2,1,1,1.1524
51,8,8,129,1,1,1,2,1,1,1.3726
51,17,17,121,2,2,2,1,1,1,1.7258
51,12,12,122,1,2,2,2,1,1,1.5968
51,27,27,104,2,1,1,2,1,1,1.4818
51,14,14,121,1,2,1,2,1,1,1.2913
51,2,2,133,2,2,1,2,1,1,1.1143
51,1,1,136,2,2,1,2,1,1,1.5772
51,24,24,110,1,1,2,1,1,1,1.6855
51,7,7,127,1,2,2,2,1,1,1.7189
51,14,14,121,1,2,2,2,1,1,1.6266
51,7,7,127,1,2,2,1,1,1,1.4323
51,31,31,0,1,2,2,1,1,1,0.78229
51,22,22,115,2,1,1,1,1,1,1.1854
51,28,28,100,2,2,2,1,1,1,1.7772
51,3,3,129,1,2,2,1,0,0,0.0041553
51,1,1,134,1,2,2,1,1,1,1.3926
51,12,12,122,1,1,1,1,1,1,1.4673
51,4,4,128,1,2,1,1,1,1,1.3107
51,14,14,115,2,2,1,2,1,1,1.5663
51,21,21,114,1,1,2,2,1,1,1.6249
51,12,12,117,2,2,2,1,1,1,1.4036
51,1,1,134,1,2,2,2,1,1,1.677
51,27,27,104,2,1,2,2,1,1,1.7541
51,29,29,93,1,2,2,1,1,1,1.5563
51,31,31,0,2,1,2,1,1,1,0.26821
51,6,6,129,1,1,1,2,1,1,1.5105
51,26,26,105,2,2,2,2,1,1,1.5354
51,20,20,115,2,1,2,1,1,1,1.4637
51,30,30,97,2,1,2,2,1,1,1.6128
51,12,12,122,1,1,2,1,1,1,1.6523
51,14,14,115,2,1,1,1,1,1,1.6087
51,9,9,125,1,1,2,1,1,1,1.4379
51,29,29,102,2,2,2,1,1,1,1.7484
51,19,19,112,2,2,1,1,1,1,1.4484
51,18,18,111,1,2,2,1,1,1,1.5626
51,17,17,113,1,2,1,1,1,1,1.5116
51,28,28,100,2,1,1,2,1,1,1.4526
51,24,24,110,1,1,1,2,1,1,1.4165
51,9,9,125,1,2,2,1,1,1,1.3335
51,27,27,106,1,1,2,1,1,1,1.5174
51,32,32,0,2,1,2,1,1,1,0.47228
51,28,28,108,1,1,1,2,1,1,1.5625
51,27,27,104,2,1,1,1,1,1,1.5885
51,20,20,115,2,1,1,1,1,1,1.7425
51,21,21,109,2,1,2,1,1,1,1.5003
51,13,13,118,1,1,2,1,1,1,1.5626
51,8,8,128,2,2,1,1,1,1,1.3852
51,21,21,114,1,1,1,1,1,1,1.4007
51,10,10,124,1,1,2,1,1,1,1.5451
51,28,28,100,2,1,1,1,1,1,1.4052
51,25,25,111,2,1,1,2,1,1,1.5227
51,5,5,129,2,2,1,1,1,1,1.4416
51,13,13,118,1,2,2,1,1,1,1.4691
51,19,19,115,1,2,1,2,1,1,1.6079
51,18,18,111,1,1,1,1,1,1,1.5567
51,31,31,0,2,1,1,1,1,1,0.74457
51,14,14,115,2,2,2,1,1,1,1.4599
51,18,18,117,2,2,1,1,1,1,1.5328
51,8,8,129,1,2,2,2,1,1,1.8079
51,16,16,128,1,2,1,2,1,1,1.8422
51,20,20,115,2,2,2,2,1,1,1.5478
51,1,1,134,1,1,1,2,1,1,1.7651
51,15,15,116,1,2,1,1,1,1,1.2394
51,29,29,102,2,2,1,2,1,1,1.5005
51,8,8,129,1,1,2,2,1,1,1.6359
51,24,24,110,2,2,1,1,1,1,1.4548
51,28,28,108,1,2,1,1,1,1,1.5025
51,5,5,133,1,1,2,1,1,1,1.3523
51,27,27,106,1,2,2,2,1,1,1.6004
51,12,12,117,2,1,2,2,1,1,1.4395
51,20,20,110,1,2,2,1,1,1,1.8827
51,18,18,117,2,1,1,1,1,1,1.8808
51,32,32,0,2,2,1,1,1,1,0.99611
51,20,20,110,1,2,2,2,1,1,1.4058
51,4,4,128,1,2,2,2,1,1,1.4631
51,4,4,128,1,1,1,1,1,1,1.2534
51,26,26,106,1,2,2,1,1,1,1.7704
