subID,domEyeR,threshStHi,threshStLo,thresh,Trial_number,Sentence_ID,Sentence_pixel_length,Congruent,Familiar,LocationTop,Cued,Trialcorrect,Trialbroken,ST
2,1,0.8,0.15,0.475,138,14,121,1,1,1,0,1,1,1.6607
2,1,0.8,0.15,0.475,139,25,111,0,0,1,1,1,1,1.8234
2,1,0.8,0.15,0.475,140,30,97,0,1,0,0,1,1,1.1097
2,1,0.8,0.15,0.475,141,7,127,1,1,0,1,1,1,1.1719
2,1,0.8,0.15,0.475,142,19,115,1,0,1,1,1,1,1.6151
2,1,0.8,0.15,0.475,143,2,133,0,0,1,1,1,1,1.5216
2,1,0.8,0.15,0.475,144,26,106,1,1,1,0,1,1,1.8386
2,1,0.8,0.15,0.475,145,17,113,1,0,1,1,1,1,1.5861
2,1,0.8,0.15,0.475,146,23,103,0,0,0,1,1,1,1.2719
2,1,0.8,0.15,0.475,147,32,0,1,0,1,0,0,0,0.0060307
2,1,0.8,0.15,0.475,148,32,0,1,0,0,0,0,0,0.017019
2,1,0.8,0.15,0.475,149,28,100,0,0,1,1,1,1,1.8059
2,1,0.8,0.15,0.475,150,5,129,0,0,0,0,1,1,1.3135
2,1,0.8,0.15,0.475,151,31,0,0,0,0,1,1,1,1.037
2,1,0.8,0.15,0.475,152,16,128,1,0,1,0,1,1,1.5655
2,1,0.8,0.15,0.475,153,30,96,1,0,0,1,1,1,1.1475
2,1,0.8,0.15,0.475,154,25,106,1,1,1,1,1,1,1.4284
2,1,0.8,0.15,0.475,155,18,111,1,0,1,0,1,1,1.5945
2,1,0.8,0.15,0.475,156,21,114,1,1,0,0,1,1,1.1453
2,1,0.8,0.15,0.475,157,28,108,1,1,0,1,1,1,1.3283
2,1,0.8,0.15,0.475,158,24,110,0,0,0,1,1,1,1.3566
2,1,0.8,0.15,0.475,159,8,128,0,0,0,0,1,1,1.2791
2,1,0.8,0.15,0.475,160,18,111,1,1,0,0,1,1,1.3729
2,1,0.8,0.15,0.475,161,6,129,1,1,0,0,1,1,1.4326
2,1,0.8,0.15,0.475,162,2,133,0,1,0,1,1,1,1.2497
2,1,0.8,0.15,0.475,163,9,129,0,0,0,0,1,1,1.4547
2,1,0.8,0.15,0.475,164,12,122,1,0,1,1,1,1,1.6622
2,1,0.8,0.15,0.475,165,7,128,0,1,0,0,1,1,1.271
2,1,0.8,0.15,0.475,166,14,121,1,1,1,1,1,1,1.4829
2,1,0.8,0.15,0.475,167,21,109,0,0,0,0,1,1,1.3608
2,1,0.8,0.15,0.475,168,20,110,1,1,1,1,1,1,1.5958
2,1,0.8,0.15,0.475,169,12,117,0,1,1,0,1,1,1.5057
2,1,0.8,0.15,0.475,170,17,121,0,0,0,0,1,1,1.2202
2,1,0.8,0.15,0.475,171,25,111,0,0,1,0,1,1,1.6217
2,1,0.8,0.15,0.475,172,1,134,1,1,0,0,1,1,1.2915
2,1,0.8,0.15,0.475,173,12,117,0,1,1,1,1,1,1.5301
2,1,0.8,0.15,0.475,174,11,125,0,0,0,1,1,1,1.0376
2,1,0.8,0.15,0.475,175,18,111,1,0,0,0,1,1,1.3022
2,1,0.8,0.15,0.475,176,14,115,0,0,1,1,1,1,1.5992
2,1,0.8,0.15,0.475,177,20,110,1,1,0,0,1,1,0.97543
2,1,0.8,0.15,0.475,178,6,129,1,1,1,0,1,1,1.9034
2,1,0.8,0.15,0.475,179,13,118,1,0,0,0,1,1,1.1751
2,1,0.8,0.15,0.475,180,20,115,0,0,1,0,1,1,1.6611
2,1,0.8,0.15,0.475,181,28,108,1,1,1,1,1,1,1.8126
2,1,0.8,0.15,0.475,182,26,106,1,1,1,1,1,1,1.5854
2,1,0.8,0.15,0.475,183,29,102,0,1,1,0,1,1,1.915
2,1,0.8,0.15,0.475,184,19,112,0,1,1,1,1,1,1.8249
2,1,0.8,0.15,0.475,185,14,115,0,1,1,0,1,1,1.879
2,1,0.8,0.15,0.475,186,4,128,1,1,0,0,1,1,1.2071
2,1,0.8,0.15,0.475,187,12,117,0,1,0,1,1,1,1.294
2,1,0.8,0.15,0.475,188,25,106,1,1,0,1,1,1,1.1586
2,1,0.8,0.15,0.475,189,9,129,0,1,1,1,1,1,1.5219
2,1,0.8,0.15,0.475,190,16,111,0,0,0,1,1,1,1.3914
2,1,0.8,0.15,0.475,191,28,108,1,0,1,1,1,1,1.5683
2,1,0.8,0.15,0.475,192,28,100,0,1,1,0,1,1,1.5769
2,1,0.8,0.15,0.475,193,4,128,1,1,0,1,1,1,1.3686
2,1,0.8,0.15,0.475,194,24,110,0,1,0,1,1,1,1.4354
2,1,0.8,0.15,0.475,195,8,129,1,1,0,1,1,1,1.2981
2,1,0.8,0.15,0.475,196,17,113,1,1,0,0,1,1,1.3929
2,1,0.8,0.15,0.475,197,28,108,1,1,0,0,1,1,1.3741
2,1,0.8,0.15,0.475,198,7,127,1,0,0,1,1,1,1.1642
2,1,0.8,0.15,0.475,199,20,115,0,0,0,1,1,1,1.3714
2,1,0.8,0.15,0.475,200,3,133,0,0,1,1,1,1,1.6381
2,1,0.8,0.15,0.475,201,13,118,0,1,0,1,1,1,1.1997
2,1,0.8,0.15,0.475,202,23,109,1,1,1,0,1,1,1.3917
2,1,0.8,0.15,0.475,203,11,123,1,0,0,1,1,1,1.3424
2,1,0.8,0.15,0.475,204,32,0,0,0,0,1,1,1,0.54087
2,1,0.8,0.15,0.475,205,23,103,0,1,1,0,1,1,1.8913
2,1,0.8,0.15,0.475,206,26,106,1,0,1,1,1,1,1.4956
2,1,0.8,0.15,0.475,207,30,97,0,1,1,0,1,1,1.6295
2,1,0.8,0.15,0.475,208,8,128,0,1,0,0,1,1,1.1752
2,1,0.8,0.15,0.475,209,23,109,1,0,1,1,1,1,1.2916
2,1,0.8,0.15,0.475,210,27,104,0,0,0,1,1,1,1.0671
2,1,0.8,0.15,0.475,211,24,110,1,0,0,1,1,1,1.1172
2,1,0.8,0.15,0.475,212,15,116,1,0,1,1,1,1,1.3797
2,1,0.8,0.15,0.475,213,30,96,1,0,1,0,1,1,1.6692
2,1,0.8,0.15,0.475,214,9,129,0,0,1,1,1,1,1.4034
2,1,0.8,0.15,0.475,215,19,112,0,0,1,0,1,1,1.8021
2,1,0.8,0.15,0.475,216,17,121,0,1,1,1,1,1,1.5071
2,1,0.8,0.15,0.475,217,27,104,0,0,0,0,1,1,1.2045
2,1,0.8,0.15,0.475,218,26,106,1,1,0,0,1,1,1.1504
2,1,0.8,0.15,0.475,219,10,128,0,0,0,0,1,1,1.253
2,1,0.8,0.15,0.475,220,10,128,0,0,1,1,1,1,1.5644
2,1,0.8,0.15,0.475,221,15,116,1,1,1,0,1,1,1.8702
2,1,0.8,0.15,0.475,222,3,133,0,0,1,0,1,1,1.6983
2,1,0.8,0.15,0.475,223,15,121,0,1,1,1,1,1,1.5793
2,1,0.8,0.15,0.475,224,19,112,0,1,1,0,0,0,0.0061947
2,1,0.8,0.15,0.475,225,9,129,0,1,0,1,1,1,1.5292
2,1,0.8,0.15,0.475,226,19,112,0,1,0,1,1,1,1.7537
2,1,0.8,0.15,0.475,227,24,110,1,1,1,0,1,1,1.6615
2,1,0.8,0.15,0.475,228,8,129,1,0,1,0,1,1,1.5927
2,1,0.8,0.15,0.475,229,2,131,1,1,0,0,1,1,1.3836
