subID,domEyeR,threshStHi,threshStLo,thresh,Trial_number,Sentence_ID,Sentence_pixel_length,Congruent_1,Familiar_1,LocationTop_1,Cued_1,Trialcorrect_1,Trialbroken_1,ST,
32,1,0.26495,0.22929,0.24712,63,13,118,0,1,1,0,1,1,1.3077,0
32,1,0.26495,0.22929,0.24712,64,17,113,1,0,1,0,1,1,2.0795,0
32,1,0.26495,0.22929,0.24712,65,25,106,1,0,1,0,1,1,1.588,0
32,1,0.26495,0.22929,0.24712,66,20,115,0,1,0,1,1,1,2.6795,1
32,1,0.26495,0.22929,0.24712,67,20,110,1,0,1,0,1,1,1.5103,0
32,1,0.26495,0.22929,0.24712,68,3,133,0,1,0,1,1,1,1.5895,1
32,1,0.26495,0.22929,0.24712,69,6,129,1,1,0,1,1,1,1.438,1
32,1,0.26495,0.22929,0.24712,70,1,134,1,0,0,1,1,1,1.3548,1
32,1,0.26495,0.22929,0.24712,71,21,109,0,0,0,1,1,1,1.6191,1
32,1,0.26495,0.22929,0.24712,72,3,129,1,0,1,0,1,1,1.3221,0
32,1,0.26495,0.22929,0.24712,73,4,125,0,0,0,1,1,1,1.3887,1
32,1,0.26495,0.22929,0.24712,74,3,133,0,0,0,1,1,1,1.3151,1
32,1,0.26495,0.22929,0.24712,75,19,112,0,1,0,1,1,1,1.9087,1
32,1,0.26495,0.22929,0.24712,76,13,118,1,0,1,0,1,1,1.5567,0
32,1,0.26495,0.22929,0.24712,77,16,128,1,1,0,1,1,1,1.3853,1
32,1,0.26495,0.22929,0.24712,78,13,118,0,0,1,0,1,1,1.6687,0
32,1,0.26495,0.22929,0.24712,79,17,113,1,1,1,0,1,1,1.4146,0
32,1,0.26495,0.22929,0.24712,80,30,97,0,1,0,1,1,1,1.3172,1
32,1,0.26495,0.22929,0.24712,81,29,102,0,0,0,1,1,1,1.3373,1
32,1,0.26495,0.22929,0.24712,82,7,128,0,1,1,0,1,1,1.4337,0
32,1,0.26495,0.22929,0.24712,83,18,111,1,0,1,0,1,1,1.7049,0
32,1,0.26495,0.22929,0.24712,84,4,128,1,0,1,0,1,1,1.6529,0
32,1,0.26495,0.22929,0.24712,85,3,133,0,1,0,1,1,1,1.412,1
32,1,0.26495,0.22929,0.24712,86,17,121,0,0,1,0,1,1,1.7018,0
32,1,0.26495,0.22929,0.24712,87,26,105,0,1,0,1,1,1,1.6968,1
32,1,0.26495,0.22929,0.24712,88,29,93,1,0,1,0,1,1,1.7609,0
32,1,0.26495,0.22929,0.24712,89,11,125,0,0,0,1,1,1,1.4317,1
32,1,0.26495,0.22929,0.24712,90,23,103,0,1,0,1,1,1,1.2579,1
32,1,0.26495,0.22929,0.24712,91,14,121,1,0,0,1,1,1,1.3996,1
32,1,0.26495,0.22929,0.24712,92,9,125,1,1,1,0,1,1,1.3707,0
32,1,0.26495,0.22929,0.24712,93,22,111,1,0,0,1,1,1,1.8493,1
32,1,0.26495,0.22929,0.24712,94,25,111,0,1,0,1,1,1,1.2267,1
32,1,0.26495,0.22929,0.24712,95,13,118,0,0,0,1,1,1,1.1701,1
32,1,0.26495,0.22929,0.24712,96,28,108,1,0,1,0,1,1,1.3929,0
32,1,0.26495,0.22929,0.24712,97,7,128,0,1,0,1,1,1,1.1503,1
32,1,0.26495,0.22929,0.24712,98,6,129,1,1,1,0,1,1,1.7837,0
32,1,0.26495,0.22929,0.24712,99,31,0,1,1,1,0,0,0,5.0153,0
32,1,0.26495,0.22929,0.24712,100,9,129,0,1,1,0,1,1,1.6038,0
32,1,0.26495,0.22929,0.24712,101,17,121,0,1,0,1,1,1,1.184,1
32,1,0.26495,0.22929,0.24712,102,28,108,1,1,0,1,1,1,1.2028,1
32,1,0.26495,0.22929,0.24712,103,17,121,0,0,0,1,1,1,1.2928,1
32,1,0.26495,0.22929,0.24712,104,1,136,0,1,1,0,1,1,1.4596,0
32,1,0.26495,0.22929,0.24712,105,3,129,1,1,0,1,1,1,1.1673,1
32,1,0.26495,0.22929,0.24712,106,8,129,1,0,0,1,1,1,1.3321,1
32,1,0.26495,0.22929,0.24712,107,21,114,1,1,1,0,1,1,1.3965,0
32,1,0.26495,0.22929,0.24712,108,9,125,1,0,1,0,1,1,1.5202,0
32,1,0.26495,0.22929,0.24712,109,23,109,1,0,0,1,1,1,1.4867,1
32,1,0.26495,0.22929,0.24712,110,29,93,1,0,0,1,1,1,1.1553,1
32,1,0.26495,0.22929,0.24712,111,7,127,1,1,1,0,1,1,1.2819,0
32,1,0.26495,0.22929,0.24712,112,28,108,1,1,0,1,1,1,1.4598,1
32,1,0.26495,0.22929,0.24712,113,21,114,1,0,0,1,1,1,1.2377,1
32,1,0.26495,0.22929,0.24712,114,11,123,1,0,0,1,1,1,1.2264,1
32,1,0.26495,0.22929,0.24712,115,31,0,1,1,1,0,0,0,5.0167,0
32,1,0.26495,0.22929,0.24712,116,31,0,1,1,1,0,0,0,5.013,0
32,1,0.26495,0.22929,0.24712,117,7,127,1,0,1,0,1,1,1.8445,0
32,1,0.26495,0.22929,0.24712,118,31,0,1,1,1,0,0,0,5.0085,0
32,1,0.26495,0.22929,0.24712,119,18,111,1,0,0,1,1,1,1.1796,1
32,1,0.26495,0.22929,0.24712,120,14,115,0,1,0,1,1,1,1.5163,1
32,1,0.26495,0.22929,0.24712,121,15,116,1,1,0,1,1,1,1.3515,1
32,1,0.26495,0.22929,0.24712,122,5,133,1,1,0,1,1,1,1.0346,1
32,1,0.26495,0.22929,0.24712,123,28,100,0,0,1,0,1,1,1.5834,0
32,1,0.26495,0.22929,0.24712,124,5,129,0,1,0,1,1,1,1.3346,1
32,1,0.26495,0.22929,0.24712,125,6,129,1,0,0,1,1,1,1.4529,1
32,1,0.26495,0.22929,0.24712,126,31,0,1,1,1,0,0,0,5.0018,0
32,1,0.26495,0.22929,0.24712,127,10,124,1,0,1,0,1,1,2.049,0
32,1,0.26495,0.22929,0.24712,128,16,128,1,0,1,0,1,1,1.2344,0
32,1,0.26495,0.22929,0.24712,129,12,117,0,1,0,1,1,1,1.0303,1
32,1,0.26495,0.22929,0.24712,130,1,136,0,0,0,1,1,1,1.1341,1
32,1,0.26495,0.22929,0.24712,131,15,121,0,1,0,1,1,1,1.2171,1
32,1,0.26495,0.22929,0.24712,132,7,128,0,0,0,1,1,1,1.1827,1
32,1,0.26495,0.22929,0.24712,133,1,134,1,1,1,0,1,1,1.2281,0
32,1,0.26495,0.22929,0.24712,134,31,0,1,1,1,0,0,0,5.0043,0
32,1,0.26495,0.22929,0.24712,135,22,115,0,0,0,1,1,1,1.2581,1
32,1,0.26495,0.22929,0.24712,136,26,105,0,0,0,1,1,1,1.1832,1
32,1,0.26495,0.22929,0.24712,137,5,133,1,1,0,1,1,1,1.2442,1
32,1,0.26495,0.22929,0.24712,138,1,134,1,1,0,1,1,1,1.4116,1
32,1,0.26495,0.22929,0.24712,139,2,133,0,1,0,1,1,1,1.6058,1
32,1,0.26495,0.22929,0.24712,140,12,122,1,1,0,1,1,1,1.6638,1
32,1,0.26495,0.22929,0.24712,141,29,93,1,1,1,0,1,1,1.5517,0
32,1,0.26495,0.22929,0.24712,142,25,106,1,1,1,0,1,1,1.5294,0
32,1,0.26495,0.22929,0.24712,143,6,129,0,1,0,1,1,1,1.3699,1
32,1,0.26495,0.22929,0.24712,144,31,0,1,1,1,0,0,0,5.003,0
32,1,0.26495,0.22929,0.24712,145,21,114,1,1,0,1,1,1,1.2516,1
32,1,0.26495,0.22929,0.24712,146,2,133,0,0,0,1,1,1,1.352,1
32,1,0.26495,0.22929,0.24712,147,12,122,1,1,1,0,1,1,1.8562,0
32,1,0.26495,0.22929,0.24712,148,20,115,0,0,1,0,1,1,2.1523,0
32,1,0.26495,0.22929,0.24712,149,9,129,0,1,0,1,1,1,1.2689,1
32,1,0.26495,0.22929,0.24712,150,23,109,1,1,1,0,1,1,1.7859,0
32,1,0.26495,0.22929,0.24712,151,22,111,1,1,0,1,1,1,1.6333,1
32,1,0.26495,0.22929,0.24712,152,7,127,1,0,0,1,1,1,1.2855,1
32,1,0.26495,0.22929,0.24712,153,7,127,1,1,0,1,1,1,1.3824,1
32,1,0.26495,0.22929,0.24712,154,7,128,0,0,0,1,1,1,1.2041,1
32,1,0.26495,0.22929,0.24712,155,8,128,0,0,1,0,1,1,1.6212,0
32,1,0.26495,0.22929,0.24712,156,6,129,0,0,1,0,1,1,2.1519,0
32,1,0.26495,0.22929,0.24712,157,31,0,1,1,1,0,0,0,5.0021,0
32,1,0.26495,0.22929,0.24712,158,26,105,0,0,1,0,1,1,2.437,0
32,1,0.26495,0.22929,0.24712,159,11,123,1,0,1,0,1,1,1.6468,0
32,1,0.26495,0.22929,0.24712,160,12,117,0,1,0,1,1,1,1.2528,1
32,1,0.26495,0.22929,0.24712,161,14,115,0,0,0,1,1,1,1.1734,1
32,1,0.26495,0.22929,0.24712,162,24,110,0,1,0,1,1,1,1.4687,1
32,1,0.26495,0.22929,0.24712,163,10,128,0,0,1,0,1,1,1.5955,0
32,1,0.26495,0.22929,0.24712,164,24,110,1,0,0,1,1,1,1.258,1
32,1,0.26495,0.22929,0.24712,165,21,114,1,1,0,1,1,1,1.2879,1
32,1,0.26495,0.22929,0.24712,166,8,129,1,1,0,1,1,1,1.1197,1
32,1,0.26495,0.22929,0.24712,167,31,0,1,1,1,0,0,0,5.0014,0
32,1,0.26495,0.22929,0.24712,168,2,131,1,0,0,1,1,1,1.4946,1
32,1,0.26495,0.22929,0.24712,169,11,123,1,1,1,0,1,1,1.2655,0
32,1,0.26495,0.22929,0.24712,170,13,118,0,1,0,1,1,1,1.1818,1
32,1,0.26495,0.22929,0.24712,171,26,106,1,1,1,0,1,1,1.3686,0
32,1,0.26495,0.22929,0.24712,172,28,108,1,1,1,0,1,1,1.3586,0
32,1,0.26495,0.22929,0.24712,173,31,0,1,1,1,0,0,0,5.0074,0
32,1,0.26495,0.22929,0.24712,174,16,111,0,0,1,0,1,1,1.4918,0
32,1,0.26495,0.22929,0.24712,175,31,0,1,1,1,0,0,0,5.0049,0
32,1,0.26495,0.22929,0.24712,176,23,109,1,0,1,0,1,1,1.2209,0
32,1,0.26495,0.22929,0.24712,177,12,122,1,0,0,1,1,1,1.4313,1
32,1,0.26495,0.22929,0.24712,178,12,117,0,1,1,0,1,1,1.2705,0
32,1,0.26495,0.22929,0.24712,179,30,97,0,0,0,1,1,1,1.8421,1
32,1,0.26495,0.22929,0.24712,180,30,96,1,0,1,0,1,1,1.3164,0
32,1,0.26495,0.22929,0.24712,181,19,112,0,1,0,1,1,1,1.2123,1
32,1,0.26495,0.22929,0.24712,182,30,96,1,1,0,1,1,1,1.1171,1
32,1,0.26495,0.22929,0.24712,183,24,110,1,0,0,1,1,1,1.7525,1
32,1,0.26495,0.22929,0.24712,184,22,115,0,0,1,0,1,1,1.3494,0
32,1,0.26495,0.22929,0.24712,185,1,136,0,0,0,1,1,1,1.1283,1
32,1,0.26495,0.22929,0.24712,186,4,125,0,0,0,1,1,1,1.9411,1
32,1,0.26495,0.22929,0.24712,187,15,116,1,1,1,0,1,1,1.6983,0
32,1,0.26495,0.22929,0.24712,188,31,0,1,1,1,0,0,0,5.0091,0
32,1,0.26495,0.22929,0.24712,189,14,121,1,1,0,1,1,1,1.2131,1
32,1,0.26495,0.22929,0.24712,190,31,0,1,1,1,0,0,0,5.0099,0
32,1,0.26495,0.22929,0.24712,191,12,117,0,0,0,1,1,1,1.1346,1
