SubjectID,SentenceID,Congruent,Familiar,LocationTop,CueValid,ST
1,8,0,0,1,0,0.011761
1,29,0,0,0,1,1.4689
1,5,0,0,1,0,1.7103
1,16,1,0,1,0,1.7554
1,14,0,0,1,1,1.7963
1,10,1,1,1,1,1.6867
1,27,1,0,1,0,1.6029
1,15,1,0,0,0,1.4676
1,22,1,1,0,1,1.6202
1,17,0,0,0,0,1.7189
1,32,1,0,1,1,0.010596
1,17,0,1,1,0,1.6056
1,15,1,1,0,0,1.4145
1,10,1,0,1,1,1.9916
1,19,1,1,1,0,1.6367
1,29,0,1,1,0,0.0072176
1,25,0,1,0,1,1.6382
1,5,0,0,0,0,0.0012686
1,7,1,0,0,0,1.7673
1,32,1,0,1,0,0.0069398
1,7,0,1,1,1,0.0080077
1,7,1,1,1,0,1.8231
1,27,1,0,1,1,1.5084
1,4,0,0,1,1,0.0047489
1,25,1,1,1,0,0.0075127
1,27,0,0,1,0,1.4219
1,10,1,0,1,0,1.6564
1,23,1,0,0,1,1.8307
1,11,0,0,1,0,1.6468
1,20,1,0,1,0,1.612
1,27,0,1,0,1,1.1946
1,16,1,1,0,0,1.7163
1,28,1,1,0,1,1.2649
1,17,1,0,1,1,1.4875
1,26,0,0,1,1,1.1807
1,7,1,0,1,0,1.8101
1,7,1,1,0,0,1.7145
1,2,1,0,1,0,1.8072
1,28,1,1,1,0,1.9047
1,27,1,0,0,0,1.9477
1,7,0,0,0,1,1.5907
1,1,0,0,1,1,1.5692
1,11,0,1,1,1,0.0090383
1,19,1,1,0,1,1.5877
1,29,0,1,0,1,1.6851
1,27,0,1,1,0,1.3737
1,5,1,1,0,0,1.6966
1,23,1,0,1,1,1.6856
1,4,1,0,1,1,0.0051327
1,2,1,1,0,1,1.6445
1,13,0,1,1,1,1.5123
1,13,1,1,0,1,1.4235
1,20,1,0,0,1,1.4106
1,18,0,0,1,1,1.9753
1,14,1,0,0,1,1.6948
1,16,0,1,0,0,1.4903
1,12,0,1,1,0,1.7244
1,7,0,1,0,0,1.5832
1,18,0,0,0,1,1.4864
1,18,0,1,0,1,1.5154
1,3,0,1,0,0,0.0071703
1,9,1,0,0,1,0.0055843
1,28,1,0,0,0,1.6698
1,21,1,1,0,1,1.4573
1,31,0,0,1,0,0.0081932
1,18,0,0,0,0,1.5084
1,22,1,0,0,0,1.5293
1,27,0,0,0,1,1.8599
1,6,1,1,0,1,0.031636
1,5,0,1,1,0,1.7535
1,20,0,0,0,1,1.7969
1,26,1,0,1,0,1.4403
1,5,0,1,0,1,0.0046557
1,5,1,1,1,0,1.9925
1,7,0,1,0,1,1.5076
1,27,1,1,1,0,1.7211
1,30,1,0,0,0,1.493
1,1,0,0,0,0,1.6086
1,17,1,1,0,1,1.3611
1,29,1,0,0,0,1.4828
1,7,1,1,1,1,1.9805
1,20,1,1,1,0,1.5033
1,11,0,0,0,1,1.5443
1,30,0,0,0,0,1.4833
1,20,0,0,0,0,1.4955
1,6,1,1,1,0,1.969
1,29,0,0,1,0,1.5399
1,12,0,0,0,1,1.8293
1,30,0,0,0,1,1.6134
1,7,1,0,0,1,1.474
1,17,1,0,0,1,1.7464
1,32,1,1,0,1,0.0044781
1,25,1,0,1,0,1.518
1,2,0,1,0,0,1.8676
1,28,0,1,1,1,1.7099
1,29,1,1,0,1,1.5065
1,16,1,0,0,0,0.014
1,23,0,0,1,1,1.6892
1,2,0,0,1,0,1.6383
1,29,1,0,0,1,1.525
1,19,1,0,1,0,0.010227
1,22,1,1,1,0,1.6592
1,31,0,0,0,1,0.011513
1,23,0,1,0,1,1.3431
1,31,0,1,0,0,0.0069577
1,32,1,0,0,1,0.0035306
1,32,0,1,1,1,0.0011494
1,30,1,0,1,1,1.4216
1,13,1,1,0,0,1.7847
1,4,1,1,0,0,0.0013321
1,14,0,0,1,0,1.8533
1,6,0,1,0,1,1.7674
1,15,0,0,1,0,1.635
1,24,0,0,1,0,1.6494
1,3,1,0,0,1,1.6036
1,8,1,0,0,0,1.616
1,30,1,1,0,1,1.535
1,11,1,1,0,1,1.5909
1,18,1,1,1,0,1.9064
1,24,0,1,1,0,1.6096
1,12,1,0,0,1,1.6761
1,32,0,0,1,0,0.0040749
1,3,1,0,0,0,1.446
1,17,1,0,0,0,1.4428
1,10,0,0,0,1,1.7156
