subID,Trial_number,Sentence_ID,Sentence_pixel_length,Congruent,Familiar,LocationTop,Cued,Trialcorrect,Trialbroken,ST
2,116,15,116,1,0,0,1,1,1,1.1965
2,117,9,125,1,0,0,0,1,1,1.214
2,118,29,93,1,0,1,1,1,1,1.4607
2,119,18,117,0,1,0,0,1,1,1.0887
2,120,22,111,1,1,0,0,1,1,1.3479
2,121,23,103,0,1,0,0,1,1,1.3046
2,122,9,125,1,0,1,1,1,1,1.3861
2,123,32,0,0,1,1,0,0,0,0.013788
2,124,31,0,1,0,1,0,0,0,0.0052312
2,125,30,96,1,0,0,0,1,1,1.2901
2,126,25,106,1,1,1,0,1,1,1.5486
2,127,5,129,0,0,0,1,1,1,1.3044
2,128,7,127,1,0,0,0,1,1,1.2758
2,129,10,124,1,0,0,0,1,1,1.3283
2,130,16,111,0,1,1,1,1,1,1.663
2,131,32,0,1,0,0,1,1,1,1.2211
2,132,21,109,0,0,0,1,1,1,1.3027
2,133,14,115,0,0,1,0,1,1,1.4904
2,134,7,128,0,1,0,1,1,1,1.3019
2,135,29,93,1,1,1,1,1,1,1.4936
2,136,10,124,1,1,0,0,1,1,1.2309
2,137,9,125,1,0,1,0,1,1,1.6881
2,138,14,121,1,1,1,0,1,1,1.6607
2,139,25,111,0,0,1,1,1,1,1.8234
2,140,30,97,0,1,0,0,1,1,1.1097
2,141,7,127,1,1,0,1,1,1,1.1719
2,142,19,115,1,0,1,1,1,1,1.6151
2,143,2,133,0,0,1,1,1,1,1.5216
2,144,26,106,1,1,1,0,1,1,1.8386
2,145,17,113,1,0,1,1,1,1,1.5861
2,146,23,103,0,0,0,1,1,1,1.2719
2,147,32,0,1,0,1,0,0,0,0.0060307
2,148,32,0,1,0,0,0,0,0,0.017019
2,149,28,100,0,0,1,1,1,1,1.8059
2,150,5,129,0,0,0,0,1,1,1.3135
2,151,31,0,0,0,0,1,1,1,1.037
2,152,16,128,1,0,1,0,1,1,1.5655
2,153,30,96,1,0,0,1,1,1,1.1475
2,154,25,106,1,1,1,1,1,1,1.4284
2,155,18,111,1,0,1,0,1,1,1.5945
2,156,21,114,1,1,0,0,1,1,1.1453
2,157,28,108,1,1,0,1,1,1,1.3283
2,158,24,110,0,0,0,1,1,1,1.3566
2,159,8,128,0,0,0,0,1,1,1.2791
2,160,18,111,1,1,0,0,1,1,1.3729
2,161,6,129,1,1,0,0,1,1,1.4326
2,162,2,133,0,1,0,1,1,1,1.2497
2,163,9,129,0,0,0,0,1,1,1.4547
2,164,12,122,1,0,1,1,1,1,1.6622
2,165,7,128,0,1,0,0,1,1,1.271
2,166,14,121,1,1,1,1,1,1,1.4829
2,167,21,109,0,0,0,0,1,1,1.3608
2,168,20,110,1,1,1,1,1,1,1.5958
2,169,12,117,0,1,1,0,1,1,1.5057
2,170,17,121,0,0,0,0,1,1,1.2202
2,171,25,111,0,0,1,0,1,1,1.6217
2,172,1,134,1,1,0,0,1,1,1.2915
2,173,12,117,0,1,1,1,1,1,1.5301
2,174,11,125,0,0,0,1,1,1,1.0376
2,175,18,111,1,0,0,0,1,1,1.3022
2,176,14,115,0,0,1,1,1,1,1.5992
2,177,20,110,1,1,0,0,1,1,0.97543
2,178,6,129,1,1,1,0,1,1,1.9034
2,179,13,118,1,0,0,0,1,1,1.1751
2,180,20,115,0,0,1,0,1,1,1.6611
2,181,28,108,1,1,1,1,1,1,1.8126
2,182,26,106,1,1,1,1,1,1,1.5854
2,183,29,102,0,1,1,0,1,1,1.915
2,184,19,112,0,1,1,1,1,1,1.8249
2,185,14,115,0,1,1,0,1,1,1.879
2,186,4,128,1,1,0,0,1,1,1.2071
2,187,12,117,0,1,0,1,1,1,1.294
2,188,25,106,1,1,0,1,1,1,1.1586
2,189,9,129,0,1,1,1,1,1,1.5219
2,190,16,111,0,0,0,1,1,1,1.3914
2,191,28,108,1,0,1,1,1,1,1.5683
2,192,28,100,0,1,1,0,1,1,1.5769
2,193,4,128,1,1,0,1,1,1,1.3686
2,194,24,110,0,1,0,1,1,1,1.4354
2,195,8,129,1,1,0,1,1,1,1.2981
2,196,17,113,1,1,0,0,1,1,1.3929
2,197,28,108,1,1,0,0,1,1,1.3741
2,198,7,127,1,0,0,1,1,1,1.1642
2,199,20,115,0,0,0,1,1,1,1.3714
2,200,3,133,0,0,1,1,1,1,1.6381
2,201,13,118,0,1,0,1,1,1,1.1997
2,202,23,109,1,1,1,0,1,1,1.3917
2,203,11,123,1,0,0,1,1,1,1.3424
2,204,32,0,0,0,0,1,1,1,0.54087
2,205,23,103,0,1,1,0,1,1,1.8913
2,206,26,106,1,0,1,1,1,1,1.4956
2,207,30,97,0,1,1,0,1,1,1.6295
2,208,8,128,0,1,0,0,1,1,1.1752
2,209,23,109,1,0,1,1,1,1,1.2916
2,210,27,104,0,0,0,1,1,1,1.0671
2,211,24,110,1,0,0,1,1,1,1.1172
2,212,15,116,1,0,1,1,1,1,1.3797
2,213,30,96,1,0,1,0,1,1,1.6692
2,214,9,129,0,0,1,1,1,1,1.4034
2,215,19,112,0,0,1,0,1,1,1.8021
2,216,17,121,0,1,1,1,1,1,1.5071
2,217,27,104,0,0,0,0,1,1,1.2045
2,218,26,106,1,1,0,0,1,1,1.1504
2,219,10,128,0,0,0,0,1,1,1.253
2,220,10,128,0,0,1,1,1,1,1.5644
2,221,15,116,1,1,1,0,1,1,1.8702
2,222,3,133,0,0,1,0,1,1,1.6983
2,223,15,121,0,1,1,1,1,1,1.5793
2,224,19,112,0,1,1,0,0,0,0.0061947
2,225,9,129,0,1,0,1,1,1,1.5292
2,226,19,112,0,1,0,1,1,1,1.7537
2,227,24,110,1,1,1,0,1,1,1.6615
2,228,8,129,1,0,1,0,1,1,1.5927
2,229,2,131,1,1,0,0,1,1,1.3836
2,230,26,105,0,0,1,1,1,1,1.6422
2,231,29,93,1,1,1,0,1,1,1.3562
2,232,29,102,0,1,0,1,1,1,1.1725
2,233,29,93,1,0,0,1,1,1,1.2456
2,234,32,0,0,0,1,1,1,1,0.9224
2,235,8,128,0,1,1,0,1,1,1.7134
2,236,27,106,1,1,0,0,1,1,1.1747
2,237,9,125,1,1,0,1,1,1,1.4301
2,238,20,115,0,1,0,0,1,1,1.5254
2,239,3,133,0,0,0,1,1,1,1.4386
2,240,21,114,1,0,1,0,1,1,1.4442
2,241,15,121,0,1,0,0,1,1,1.3994
2,242,3,129,1,1,1,1,1,1,1.6385
2,243,17,113,1,0,0,1,1,1,1.244
2,244,11,123,1,1,0,0,1,1,1.2581
2,245,25,111,0,0,0,0,1,1,1.4066
2,246,2,133,0,1,1,1,1,1,1.3073
2,247,3,133,0,1,1,1,1,1,1.6358
2,248,4,125,0,1,1,1,1,1,1.5464
2,249,3,129,1,1,1,0,1,1,1.3949
2,250,5,133,1,1,1,0,1,1,1.6477
2,251,17,113,1,1,0,1,1,1,1.1813
2,252,10,128,0,0,1,0,1,1,1.6913
2,253,27,106,1,1,1,0,1,1,1.7838
2,254,1,136,0,1,1,1,1,1,1.4917
2,255,4,128,1,1,1,1,1,1,1.6581
2,256,18,111,1,1,0,1,1,1,1.1393
2,257,5,133,1,1,1,1,1,1,1.7835
2,258,5,129,0,1,0,0,1,1,1.2365
2,259,20,110,1,0,0,0,1,1,1.1017
2,260,9,129,0,0,1,0,1,1,1.9717
2,261,31,0,1,1,1,0,0,0,0.012232
2,262,21,109,0,0,1,0,1,1,1.4738
2,263,12,122,1,1,0,0,1,1,1.2735
2,264,10,124,1,0,1,0,1,1,1.6497
2,265,16,111,0,0,0,0,1,1,1.1836
2,266,15,116,1,1,0,0,1,1,1.438
2,267,24,110,1,1,0,1,1,1,1.3672
2,268,30,96,1,1,0,0,1,1,1.4289
2,269,25,106,1,0,0,1,1,1,1.408
2,270,17,121,0,1,0,1,1,1,1.2053
2,271,9,125,1,0,0,1,1,1,1.2753
2,272,1,136,0,0,1,0,1,1,1.2972
2,273,12,122,1,0,1,0,1,1,1.5935
2,274,8,129,1,0,0,1,1,1,1.2993
2,275,13,118,0,0,1,0,1,1,1.5759
2,276,22,111,1,1,0,1,1,1,1.1417
2,277,19,115,1,0,0,1,1,1,1.2214
2,278,29,102,0,1,1,1,1,1,1.737
2,279,2,131,1,1,1,0,1,1,1.619
2,280,26,105,0,0,0,1,1,1,1.225
2,281,19,115,1,0,1,0,1,1,1.6151
2,282,21,109,0,1,1,1,1,1,1.5936
2,283,32,0,0,1,0,1,1,1,0.27762
2,284,15,121,0,0,1,1,1,1,1.6339
2,285,23,109,1,1,1,1,1,1,1.7627
2,286,8,129,1,0,1,1,1,1,1.6199
2,287,15,121,0,0,0,1,1,1,1.1141
2,288,1,134,1,1,0,1,1,1,1.4268
2,289,32,0,1,0,1,1,0,1,0.21806
2,290,15,116,1,0,0,0,1,1,1.4257
2,291,26,105,0,0,1,0,1,1,1.5694
2,292,4,128,1,0,1,0,1,1,1.6049
2,293,7,128,0,1,1,0,1,1,1.6304
2,294,11,123,1,0,0,0,1,1,1.1659
2,295,1,136,0,0,0,1,1,1,1.1548
2,296,28,100,0,0,1,0,1,1,1.5489
2,297,15,116,1,1,1,1,1,1,1.8112
2,298,6,129,1,0,1,0,1,1,1.5017
2,299,6,129,1,0,0,1,1,1,1.1417
2,300,28,108,1,1,1,0,1,1,1.371
2,301,31,0,0,1,1,0,0,0,0.0027923
2,302,27,106,1,0,1,1,1,1,1.405
2,303,1,134,1,1,1,1,1,1,1.6278
2,304,21,109,0,1,0,1,1,1,1.1748
2,305,24,110,0,1,1,0,1,1,1.396
2,306,10,124,1,1,1,0,1,1,1.5813
2,307,22,111,1,0,1,1,1,1,1.4514
2,308,19,115,1,0,0,0,1,1,1.0872
2,309,2,131,1,1,0,1,1,1,1.1512
2,310,26,105,0,1,1,0,1,1,1.508
2,311,29,93,1,1,0,1,1,1,1.1811
2,312,31,0,1,0,0,0,0,0,0.0089128
2,313,24,110,0,1,1,1,1,1,1.735
2,314,7,128,0,0,1,0,1,1,1.4077
2,315,10,124,1,0,1,1,1,1,1.4901
2,316,11,123,1,1,0,1,1,1,1.0516
2,317,23,103,0,1,1,1,1,1,1.2918
2,318,26,106,1,0,1,0,1,1,1.4095
2,319,27,104,0,1,1,0,1,1,1.5435
2,320,19,112,0,0,0,0,1,1,1.1327
2,321,30,97,0,1,0,1,1,1,1.2492
2,322,2,131,1,0,0,1,1,1,1.4939
2,323,9,125,1,1,1,1,1,1,1.8694
2,324,31,0,1,0,1,1,1,1,0.69379
2,325,3,129,1,1,0,1,1,1,1.2484
2,326,23,109,1,0,0,1,1,1,1.2976
2,327,18,111,1,1,1,0,1,1,1.4661
2,328,25,106,1,0,0,0,1,1,1.3544
2,329,2,133,0,1,0,0,1,1,1.3597
2,330,27,104,0,1,0,1,1,1,1.3706
2,331,14,121,1,1,0,0,1,1,1.1823
2,332,18,117,0,0,0,1,1,1,1.1393
2,333,10,128,0,1,1,0,1,1,1.499
2,334,31,0,0,0,1,1,1,1,0.19859
2,335,30,97,0,0,1,1,1,1,1.5808
2,336,24,110,0,0,1,0,1,1,1.6106
2,337,24,110,0,0,1,1,1,1,1.9921
2,338,5,129,0,1,1,0,1,1,1.8274
2,339,13,118,0,0,0,1,1,1,1.2523
2,340,14,121,1,0,1,0,1,1,1.5968
2,341,12,122,1,1,1,1,1,1,1.4937
2,342,16,111,0,1,0,0,1,1,1.3259
2,343,28,108,1,0,1,0,1,1,1.5486
2,344,11,125,0,0,1,1,1,1,1.7291
2,345,11,125,0,1,0,1,1,1,1.1886
2,346,1,134,1,1,1,0,1,1,1.6284
2,347,8,129,1,1,1,0,1,1,1.8667
2,348,25,111,0,1,1,0,1,1,1.9999
2,349,7,127,1,0,1,1,1,1,1.681
2,350,27,106,1,0,1,0,1,1,1.5348
2,351,13,118,0,1,1,1,1,1,1.7956
2,352,22,115,0,1,0,1,1,1,1.2462
2,353,13,118,1,0,0,1,1,1,1.2448
2,354,31,0,1,1,1,1,1,1,1.1736
2,355,2,133,0,1,1,0,1,1,1.5591
2,356,30,96,1,1,1,0,1,1,1.6785
2,357,20,110,1,0,1,0,1,1,1.4558
2,358,22,115,0,0,1,0,1,1,1.6279
2,359,4,125,0,0,1,0,1,1,1.534
2,360,16,128,1,1,0,0,1,1,1.2851
2,361,4,125,0,1,0,1,1,1,1.4461
2,362,28,108,1,0,0,1,1,1,1.416
2,363,24,110,1,1,1,1,1,1,1.7274
2,364,12,117,0,1,0,0,1,1,1.3039
2,365,8,128,0,0,0,1,1,1,1.3493
2,366,18,117,0,0,0,0,1,1,1.3673
2,367,3,133,0,1,0,0,1,1,1.5674
2,368,12,122,1,1,0,1,1,1,1.3616
2,369,5,129,0,0,1,1,1,1,1.5336
2,370,3,133,0,0,0,0,1,1,1.3842
2,371,17,113,1,1,1,1,1,1,1.6794
2,372,16,111,0,1,1,0,1,1,1.6509
2,373,20,110,1,0,0,1,1,1,1.389
2,374,4,125,0,0,0,1,1,1,1.3778
2,375,23,109,1,0,1,0,1,1,1.714
2,376,1,136,0,1,0,1,1,1,1.4347
2,377,32,0,1,1,1,1,1,1,0.35501
2,378,4,125,0,1,0,0,1,1,1.1867
2,379,17,113,1,1,1,0,1,1,1.5429
2,380,18,117,0,0,1,1,1,1,1.5995
2,381,23,109,1,1,0,1,1,1,1.4877
2,382,12,122,1,0,0,1,1,1,1.4031
2,383,10,128,0,0,0,1,1,1,1.3055
2,384,1,134,1,0,0,0,1,1,1.3578
2,385,27,106,1,0,0,0,1,1,1.3963
2,386,23,103,0,0,0,0,1,1,1.3481
2,387,13,118,0,0,0,0,1,1,1.592
2,388,10,128,0,1,0,0,1,1,1.3646
2,389,29,102,0,1,0,0,1,1,1.4266
2,390,2,131,1,0,1,1,1,1,1.869
2,391,8,128,0,0,1,1,1,1,1.7193
2,392,26,105,0,1,1,1,1,1,1.576
2,393,30,97,0,0,0,0,1,1,1.3318
2,394,6,129,1,0,0,0,1,1,1.2502
2,395,24,110,1,0,1,0,1,1,1.4199
2,396,9,129,0,1,1,0,1,1,1.577
2,397,32,0,1,1,0,1,1,1,0.76919
2,398,4,128,1,0,0,1,1,1,1.1754
2,399,15,116,1,1,0,1,1,1,1.3334
2,400,21,109,0,1,0,0,1,1,1.3098
2,401,32,0,1,1,0,0,0,0,0.00048132
2,402,12,117,0,0,1,0,1,1,1.5246
2,403,16,128,1,0,0,0,1,1,1.5037
2,404,14,115,0,1,0,0,1,1,1.1591
2,405,13,118,0,1,0,0,1,1,1.4206
2,406,13,118,1,1,0,0,1,1,1.2559
2,407,27,104,0,1,0,0,1,1,1.2699
2,408,6,129,0,1,1,1,1,1,1.6445
2,409,23,109,1,0,0,0,1,1,1.2177
2,410,6,129,1,0,1,1,1,1,1.3129
2,411,14,121,1,0,0,0,1,1,1.0614
2,412,10,128,0,1,1,1,1,1,1.3182
2,413,25,111,0,1,0,0,1,1,1.2251
2,414,2,131,1,1,1,1,1,1,1.6388
2,415,29,93,1,0,0,0,1,1,1.2632
2,416,18,111,1,1,1,1,1,1,1.4479
2,417,21,114,1,0,0,1,1,1,1.1792
2,418,19,112,0,0,0,1,1,1,1.1777
2,419,32,0,0,0,0,0,0,0,0.0037567
2,420,6,129,0,1,0,0,1,1,1.3497
2,421,20,115,0,0,0,0,1,1,1.1832
2,422,2,133,0,0,0,1,1,1,1.2171
2,423,23,103,0,0,1,1,1,1,1.3911
2,424,2,133,0,0,1,0,1,1,1.3622
2,425,6,129,1,1,0,1,1,1,1.1705
2,426,1,136,0,0,1,1,1,1,1.5262
2,427,21,109,0,1,1,0,1,1,1.767
2,428,30,97,0,0,1,0,1,1,1.7458
2,429,5,133,1,1,0,1,1,1,1.2512
2,430,3,133,0,1,1,0,1,1,1.568
2,431,12,122,1,0,0,0,1,1,1.1787
2,432,10,124,1,1,1,1,1,1,1.6223
2,433,5,133,1,1,0,0,1,1,1.3054
2,434,9,129,0,0,0,1,1,1,1.3745
2,435,18,117,0,1,1,0,1,1,1.7695
2,436,20,115,0,0,1,1,1,1,1.4407
2,437,31,0,0,1,0,1,1,1,0.087137
2,438,31,0,0,1,1,1,1,1,0.25975
2,439,3,129,1,1,0,0,1,1,1.1926
2,440,26,105,0,1,0,0,1,1,1.0601
2,441,25,111,0,1,0,1,1,1,1.2404
2,442,25,106,1,1,0,0,1,1,1.1577
2,443,7,128,0,0,0,0,1,1,1.2802
2,444,13,118,1,1,1,0,1,1,1.4481
2,445,23,103,0,1,0,1,1,1,1.0391
2,446,4,125,0,0,0,0,1,1,1.0989
2,447,27,104,0,0,1,0,1,1,1.3518
2,448,16,111,0,0,1,1,1,1,1.338
2,449,15,121,0,0,0,0,1,1,1.3684
2,450,12,117,0,0,1,1,1,1,1.4023
2,451,2,131,1,0,0,0,1,1,1.149
2,452,19,115,1,1,0,0,0,1,1.2551
2,453,14,115,0,1,1,1,1,1,1.7662
2,454,12,117,0,0,0,0,1,1,1.2966
2,455,7,127,1,0,1,0,1,1,1.7138
2,456,13,118,1,0,1,1,1,1,1.8394
2,457,12,117,0,0,0,1,1,1,1.1789
2,458,13,118,0,1,1,0,1,1,1.638
2,459,24,110,0,1,0,0,1,1,1.1855
2,460,20,115,0,1,0,1,1,1,1.4149
2,461,8,129,1,0,0,0,1,1,1.3739
2,462,20,110,1,0,1,1,1,1,1.8475
2,463,29,102,0,0,1,0,1,1,1.6529
2,464,30,96,1,1,1,1,1,1,1.9605
2,465,30,96,1,0,1,1,1,1,1.5226
2,466,4,128,1,0,1,1,1,1,1.7567
2,467,29,93,1,1,0,0,1,1,1.2701
2,468,16,111,0,0,1,0,1,1,1.5054
2,469,6,129,0,1,1,0,1,1,1.9405
2,470,15,121,0,1,1,0,1,1,1.6768
2,471,20,110,1,1,1,0,1,1,1.7928
2,472,11,125,0,1,1,0,1,1,1.8156
2,473,11,125,0,1,0,0,1,1,1.1801
2,474,21,114,1,0,0,0,1,1,1.4732
2,475,17,121,0,1,0,0,1,1,1.2775
2,476,14,121,1,1,0,1,1,1,1.3219
2,477,29,102,0,0,1,1,1,1,1.6008
2,478,4,125,0,0,1,1,1,1,1.5805
2,479,28,100,0,0,0,1,1,1,1.2993
2,480,28,100,0,1,0,0,1,1,1.7179
2,481,17,121,0,1,1,0,1,1,1.3933
2,482,11,123,1,0,1,1,1,1,1.4637
2,483,3,133,0,1,0,1,1,1,1.1722
2,484,26,106,1,1,0,1,1,1,1.1837
2,485,31,0,1,1,0,1,1,1,0.67448
2,486,7,127,1,1,1,0,1,1,1.5134
2,487,7,127,1,1,0,0,1,1,1.2134
2,488,3,129,1,0,0,1,1,1,1.4495
2,489,28,100,0,1,1,1,1,1,1.6975
2,490,23,109,1,1,0,0,1,1,1.4123
2,491,3,129,1,0,0,0,1,1,1.3351
2,492,24,110,1,1,0,0,1,1,1.2658
2,493,20,115,0,1,1,0,1,1,1.3925
2,494,21,114,1,1,1,0,1,1,1.6572
2,495,32,0,1,1,1,0,0,0,0.0071304
2,496,24,110,1,0,1,1,1,1,1.5873
2,497,4,128,1,1,1,0,1,1,1.518
2,498,2,133,0,0,0,0,1,1,1.2442
2,499,22,111,1,0,0,0,1,1,1.495
2,500,13,118,1,1,0,1,1,1,1.358
2,501,7,128,0,0,0,1,1,1,1.3685
2,502,32,0,0,1,1,1,1,1,0.87209
2,503,22,111,1,1,1,1,1,1,1.515
2,504,29,93,1,0,1,0,1,1,1.6131
2,505,18,117,0,1,0,1,1,1,1.355
2,506,16,128,1,0,0,1,1,1,1.4605
2,507,19,112,0,1,0,0,1,1,1.3176
2,508,22,115,0,0,0,0,1,1,1.3213
2,509,28,108,1,0,0,0,1,1,1.356
2,510,17,121,0,0,1,0,1,1,1.9161
2,511,23,103,0,0,1,0,0,0,0.0037206
2,512,22,111,1,0,1,0,0,1,0.28519
