subID,dot_lag,Trial_number,Sentence_ID,Sentence_pixel_length,Congruent_1,Familiar_1,LocationTop_1,Cued_1,Trialcorrect_1,Trialbroken_1,ST,subID
7,0.75,31,31,0,1,1,2,1,0,0,6.32E-05,7
7,5,4,4,125,2,1,2,2,1,1,1.0716,7
7,5,28,28,100,2,2,2,1,1,1,0.80049,7
7,5,12,12,122,1,1,2,2,1,1,1.0556,7
7,5,4,4,125,2,1,1,1,1,1,1.0465,7
7,5,5,5,133,1,1,2,1,1,1,1.0049,7
7,5,18,18,111,1,2,1,2,1,1,1.033,7
7,5,17,17,121,2,2,2,1,1,1,0.87778,7
7,5,18,18,117,2,1,2,2,1,1,0.97879,7
7,5,11,11,123,1,1,1,1,1,1,1.0712,7
7,1,32,32,0,1,1,2,1,0,0,0.0067174,7
7,5,6,6,129,2,1,1,1,1,1,1.2498,7
7,5,9,9,129,2,1,2,2,1,1,1.0211,7
7,5,28,28,108,1,1,1,1,1,1,0.7973,7
7,5,13,13,118,1,1,1,1,1,1,0.93749,7
7,5,18,18,117,2,1,1,2,1,1,0.87775,7
7,5,10,10,124,1,2,1,2,1,1,1.0789,7
7,5,27,27,106,1,1,1,2,1,1,1.1902,7
7,5,1,1,136,2,1,2,2,1,1,0.81876,7
7,5,27,27,106,1,2,1,2,1,1,1.0418,7
7,0.75,32,32,0,1,1,1,1,0,0,0.015436,7
7,5,22,22,111,1,1,1,1,1,1,0.98019,7
7,5,26,26,105,2,1,2,2,1,1,0.83504,7
7,5,29,29,102,2,1,2,1,1,1,0.77299,7
7,5,25,25,106,1,1,2,2,1,1,0.92656,7
7,5,18,18,111,1,1,2,2,1,1,0.84625,7
7,5,12,12,122,1,2,1,2,1,1,0.96771,7
7,5,21,21,109,2,2,1,2,1,1,0.88011,7
7,5,16,16,111,2,2,1,2,1,1,1.2355,7
7,5,14,14,121,1,2,1,2,0,0,0.0040553,7
7,1,31,31,0,1,1,2,1,0,0,0.014416,7
7,5,13,13,118,2,2,1,2,1,1,1.202,7
7,5,29,29,102,2,2,1,2,1,1,0.69635,7
7,5,24,24,110,2,2,1,1,1,1,0.85404,7
7,5,16,16,111,2,2,2,2,1,1,1.1124,7
7,5,26,26,106,1,2,1,1,1,1,0.37836,7
7,5,30,30,96,1,2,1,1,0,0,0.011773,7
7,5,16,16,128,1,1,2,1,0,0,0.014742,7
7,5,29,29,93,1,2,1,1,1,1,1.2226,7
7,5,15,15,116,1,1,1,2,1,1,0.95327,7
7,5,23,23,103,2,2,2,2,1,1,0.93584,7
7,5,7,7,127,1,2,1,1,1,1,0.86931,7
